"","name","year","rating","runtime","genre","synopsis"
"1","Our Planet","(2019)","9.3","403 min","
Documentary            ","
Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America."
"2","The Last Dance","(2020)","9.1","491 min","
Documentary, Biography, History            ","
Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history."
"3","When They See Us","(2019)","8.9","296 min","
Biography, Crime, Drama            ","
Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story."
"4","Black Mirror","(2011–2019)","8.8","60 min","
Drama, Mystery, Sci-Fi            ","
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
"5","Narcos","(2015–2017)","8.8","49 min","
Biography, Crime, Drama            ","
A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
"6","Dark","(2017–2020)","8.7","60 min","
Crime, Drama, Mystery            ","
A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
"7","Stranger Things","(2016– )","8.7","51 min","
Drama, Fantasy, Horror            ","
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
"8","House of Cards","(2013–2018)","8.7","51 min","
Drama            ","
A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him."
"9","Arrested Development","(2003–2019)","8.7","22 min","
Comedy            ","
Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
"10","The Crown","(2016– )","8.7","58 min","
Biography, Drama, History            ","
Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century."
"11","BoJack Horseman","(2014–2020)","8.8","25 min","
Animation, Comedy, Drama            ","
BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
"12","Anne","(2017–2019)","8.7","60 min","
Drama, Family            ","
The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels."
"13","Formula 1: Drive to Survive","(2019– )","8.6","40 min","
Documentary, Sport            ","
Docuseries following the FIA Formula One World Championship across multiple seasons."
"14","Daredevil","(2015–2018)","8.6","54 min","
Action, Crime, Drama            ","
A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
"15","The Queen's Gambit","(2020)","8.6","60 min","
Drama            ","
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
"16","Mindhunter","(2017–2019)","8.6","60 min","
Crime, Drama, Mystery            ","
Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
"17","The Haunting of Hill House","(2018)","8.6","572 min","
Drama, Horror, Mystery            ","
Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
